Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
xc4Gs_OQulg,Kristin Dope - Wanna Leave (Lyrics),"May 28, 2022",219,6,0.0395,0,1,0
wrDn1f5tYBo,LØLØ x Maggie Lindemann - debbie downer,"Feb 11, 2022",160,6,0.0577,0,17,0
GWtVX1oFV0Q,Mauve - 1984 (Lyrics),"May 23, 2020",161,6,0.0151,0,27,11.11
_AwlODATFkc,"LANY - the older you get, the less you cry","Nov 5, 2021",203,6,0.3895,0,66,9.09
3Ei1hAbL-zQ,CATBEAR - Who Cares? (Lyrics),"Jun 17, 2025",145,6,0.2495,0,22,18.18
FO_7x1bEfgQ,Deep Chills - Flaws,"Apr 20, 2022",171,6,0.1292,0,74,0
 -EdMbLSiasE,"Ella Vos - Dreaming, backwards (Lyrics)","Aug 4, 2020",214,5,0.2553,0,72,0
UBW9-JDCSlo,The AfroVision - Fade Away,"May 31, 2025",280,5,0.1084,0,28,3.57
l4ohrojYJ5A,Kailash Kher & Kunaal Vermaa - Shakti Dena,"Jun 27, 2025",243,5,0.0781,0,12,8.33
tdpg_3gZuuw,James Carter - Tell Me feat. Hanne Mjøen,"Feb 11, 2022",128,5,0.0584,0,10,10
apf8klOHMx4,Elise Azkoul - Like Nobody (Lyrics),"Nov 9, 2020",173,5,0.0585,0,10,20
3YbzE8lunFs,Mike Perry & Hot Shade - I Like it,"Feb 25, 2022",157,5,0.1898,0,25,8
Xn7dsRgjyWE,Slowbrew - Your Mind (Lyrics) ft. madugo,"Jun 25, 2020",154,5,0.0426,0,23,0
N2phTQzuc3c,Seeb & Nina Nesbitt - Sweet Dreams And Dynamite,"Nov 19, 2021",159,5,0.1794,0,31,3.23
wLvYJ0vxiyo,Abigail Barlow & Ariza  - Stayed Strangers,"Feb 19, 2022",206,5,0.1462,0,26,11.54
cOwsP08E9wk,artcriminal - SAPNE,"Aug 3, 2025",176,5,0.083,0,55,5.45
HwHfySWtMm8,Hogland - Used To feat. EEVA,"Mar 11, 2022",153,5,0.1273,0,25,20
KSUt2ZMDxKs,Olivia Lunny - Think of me (Lyrics),"Dec 9, 2020",167,5,0.0729,0,64,4.69
UXKN8Ju1IjM,Kastra - Without You feat. Linney,"Nov 20, 2021",190,5,0.1089,0,55,7.27
anpXbAtDyKY,Carlie Hanson - EGO (Lyrics) feat. Iann Dior,"Sep 25, 2020",159,5,0.0233,0,22,22.73
PMWxXlxg-8M,Alexa Cappelli - Whiplash,"Jan 13, 2022",189,5,0.1551,0,31,12.9
QUzaw9VEo_U,Yaeow - When I'm No Longer Here (Lyrics),"Jul 3, 2020",169,4,0.0535,0,10,10
YxwBQLkiUnU,"Alesso, CORSAK & Stray Kids - Going Dumb (Lyrics)","Mar 19, 2021",169,4,0.0322,0,34,5.88
RI-m4lAcjUs,Vishal Mishra X Hansika Pareek X Raj Shekhar - Tum Ho Toh,"Jun 21, 2025",198,4,0.1001,0,2,0
#NAME?,No Treasure - Neverland (Lyrics) feat. Marmy,"May 23, 2020",161,4,0.0341,0,23,8.7
MVDxLRk6qKg,Becoming Young - Temptation (Lyrics),"Aug 27, 2020",158,4,0.1316,0,29,0
hG7jdbBuj98,Soundland x PIECES (feat. Sam Heselwood) - Two Hearts Ignite,"Aug 12, 2025",161,4,0.0569,0,22,0
aFVnGKY5T90,andhim x AMEME x Malou - Feel The Love (Lyrics),"May 3, 2025",184,4,0.0912,0,47,2.13
Kd9uZCNT8Oo,Sarah Barrios - Help (Lyrics) feat. Rence,"Oct 16, 2020",189,4,0.0127,0,6,50
MNGpXdDyDvs,Drew Schueler - Head Start (Lyrics),"Jun 11, 2020",218,4,0.0083,0,5,0
mF5LkqNddiw,Mindblow x aMouse x Catching Sunrises x Rob Rivera - Tennis Court,"Aug 17, 2025",178,4,0.1366,0,33,9.09
mkpTXhzR2zM,Deep Chills - Bali Dreams,"Nov 18, 2022",150,4,0.0124,0,39,7.69
JeD5Y1pOozw,Anuj Rehan x Ananya Sharma x Amit Verma - Rangreza,"Jul 19, 2025",156,4,0.0008,0,22,0
jdbBe2lEbJo,Haywood - Cheers to us (Lyrics) feat. Loote,"Mar 27, 2021",185,4,0.0306,0,98,4.08
lpoYZI59G4A,Kate Vogel - New Mexico Sunrise (Lyrics),"Jul 18, 2020",267,4,0.0752,0,15,6.67
BQMEqJPThlM,Munn - Without Ya // (Lyrics),"Aug 8, 2020",162,4,0.1341,0,68,1.47
80LgEiHwHC8,Your Paris - Standing in Your Doorway (Lyrics / Lyrics Video),"Jul 15, 2020",214,4,0.0113,0,12,8.33
mtsOSEz9GHo,Ella Vos - Glitter and Tears,"Oct 25, 2022",200,4,0.0614,0,10,10
csRyeMke0zA,Liam Mogan - Alone in the City (Lyrics),"Sep 30, 2020",183,4,0.0169,0,1,0
Ls0BLGolxco,Martin Jensen - Faith,"Nov 13, 2021",191,4,0.0659,0,20,15
zK6eKGbcoH0,St. Lundi - Fall,"Jun 30, 2023",175,3,0.1022,0,32,9.38
VTuC_MEv7FM,Yultron - Anybody Out There feat. HENRY & Sara Phillips,"Sep 8, 2023",192,3,0.1128,0,4,0
u5hKg3vXVbU,Abigail Barlow & Ariza - Where's That Girl? (Lyrics),"Dec 3, 2020",218,3,0.0077,0,23,8.7
vVg0Fok9lTA,Vin Diesel - Days Are Gone (Lyrics),"Nov 1, 2020",203,3,0.0138,0,38,5.26
i07JK7VnK8w,Johnny Orlando - I Don't feat. DVBBS (Lyrics),"Mar 25, 2021",182,3,0.0669,0,55,5.45
aI4eLE3tlXo,Neptune - Fly Girl (Official Lyrics),"Aug 10, 2020",102,3,0.032,0,2,0
Qlaghha1-kI,Chaz Mazzota - You're the One (Lyrics),"Aug 1, 2020",213,3,0.0727,0,41,2.44
X8kRyF0xNgY,Fritz Kalkbrenner - When I See You,"Jul 23, 2025",198,3,0.1112,0,26,3.85
