Content,Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Impressions,Impressions click-through rate (%)
uv_8DboAlkE,Felix Cartal  - Mine ft. Sophie Simmons [Fake Luv Remix] (Lyircs Video),"Jun 30, 2020",221,,,,4,0
fcqqNl4hImM,Mangoo - Happi (Lyrics) ft. bby ivy,"Jul 29, 2020",164,,,,11,0
foQRskSFim8,JRL & Manse - The One That Got Away,"Apr 21, 2022",181,,,,7,0
QIFixGhSLp4,Charlotte Lawrence - Talk You Down (Lyrics),"Jan 9, 2021",157,,,,6,0
GubMyoTSYqo,Frank Walker & Two Feet - Day By Day,"Jan 14, 2022",170,,,,1,0
IOnb9FeFaf8,Marvin Acosta - High Off Your Love,"Apr 7, 2023",218,,,,5,0
Fx2NJFmaVFc,Gwyn - Temple (Lyrics) feat.GEF,"Jul 4, 2020",187,,,,10,0
oh2dFmVqCQg,Alan Walker & Salem ilese - Fake A Smile (Lyrics),"Feb 19, 2021",197,,,,1,0
1yaFdnHfe0M,Elina - Remember (Lyrics),"Oct 3, 2020",193,,,,6,0
BiFBaReI4Jc,Kristin Dope - Wanna Leave,"May 27, 2022",219,,,,1,0
c0pwo254Kp4,Your Paris - About Love (Lyrics),"Sep 11, 2020",182,,,,1,0
VNTB7DsLU9g,Conor Maynard - What I Put You Through,"Nov 13, 2021",203,,,,8,0
i6TIfN-yfwg,Kayou. - wish u the best (Lyrics) feat. Kaxi,"Jun 22, 2020",145,,,,4,0
lJJ_tSG_0xM,TheFatRat & Laura Brehm - We'll Meet Again (Lyrics),"Jul 17, 2020",204,,,,1,0
8hk8i6skuEE,Brainheart & Nightshift - Something More,"Dec 16, 2021",212,,,,8,0
Fgtf7kmDmhY,Spoke - Down We Go,"Nov 17, 2021",162,,,,1,0
YPfp5iA8lhI,NOTD - About You feat.Nightly (Felix Cartal Remix),"Apr 19, 2022",181,,,,5,0
PzsRSOJFonk,Syn Cole  - Crawl (Lyrics) ft. Sarah Close,"Sep 27, 2020",208,,,,12,0
 -VowcIRxwbw,Josua Natanael - You Make Me,"Jun 25, 2019",232,,,,2,0
Hoei10E3qzc,Steerner - You Make Me Feel,"Dec 2, 2021",143,,,,28,0
00tn0CMlRWU,Disco Lines - Younger feat. Riley Biederer,"Dec 17, 2021",193,,,,6,0
n_r3uCASioo,Riley Clemmons - Healing (Lyrics),"Nov 18, 2020",211,,,,4,0
aKHw1cv25Ow,Martin Jensen & Georgia Ku - 2019 (Lyrics),"Feb 27, 2021",136,,,,42,0
J9GDMcCsoVw,Harry Hudson - Overwhelmed (Lyrics),"Oct 16, 2020",165,,,,1,0
69eoECQH3Po,Teddy Beats & Kerin Maguire - Hollow,"May 6, 2022",167,,,,1,0
zW5TLPZcj4Q,Deacon - Petty,"Dec 29, 2022",186,,,,4,0
zOlvaDsUu2o,Disclosure & Zedd - You've Got to Let Go If You Want to Be Free,"Jan 28, 2022",254,,,,8,0
a6w_lB-yJIY,Georgia Webster - Tattoos,"Sep 23, 2022",167,,,,3,0
Showing top 500 results,,,,,,,,
